Line#,Date,"Thermocouple - Std Dev (RAW-C-20 20107267:20088126-2S), C, Arizona VT SE KMP08 AZ VT1 Tcell","Thermocouple - Avg (RAW-C-20 20107267:20088126-2A), C, Arizona VT SE KMP08 AZ VT1 Tcell","Thermocouple - Max (RAW-C-20 20107267:20088126-2x), C, Arizona VT SE KMP08 AZ VT1 Tcell","Thermocouple - Min (RAW-C-20 20107267:20088126-2m), C, Arizona VT SE KMP08 AZ VT1 Tcell","Thermocouple (RAW-C-20 20107267:20088126-2), C, Arizona VT SE KMP08 AZ VT1 Tcell","Voltage - Std Dev (RAW-V-5 20107267:20088126-1S), V, Arizona VT SE KMP08 AZ VT1 Voc","Voltage - Avg (RAW-V-5 20107267:20088126-1A), V, Arizona VT SE KMP08 AZ VT1 Voc","Voltage - Max (RAW-V-5 20107267:20088126-1x), V, Arizona VT SE KMP08 AZ VT1 Voc","Voltage - Min (RAW-V-5 20107267:20088126-1m), V, Arizona VT SE KMP08 AZ VT1 Voc","Voltage (RAW-V-5 20107267:20088126-1), V, Arizona VT SE KMP08 AZ VT1 Voc","Battery (RX3000 BATTERY 20107267:20107267-B), V, Arizona VT SE KMP08","Thermocouple - Std Dev (RAW-C-20 20107267:20088126-2S), C, Arizona VT SE KMP8 AZ VT1 Tcell","Thermocouple - Avg (RAW-C-20 20107267:20088126-2A), C, Arizona VT SE KMP8 AZ VT1 Tcell","Thermocouple - Max (RAW-C-20 20107267:20088126-2x), C, Arizona VT SE KMP8 AZ VT1 Tcell","Thermocouple - Min (RAW-C-20 20107267:20088126-2m), C, Arizona VT SE KMP8 AZ VT1 Tcell","Thermocouple (RAW-C-20 20107267:20088126-2), C, Arizona VT SE KMP8 AZ VT1 Tcell","Voltage - Std Dev (RAW-V-5 20107267:20088126-1S), V, Arizona VT SE KMP8 AZ VT1 Voc","Voltage - Avg (RAW-V-5 20107267:20088126-1A), V, Arizona VT SE KMP8 AZ VT1 Voc","Voltage - Max (RAW-V-5 20107267:20088126-1x), V, Arizona VT SE KMP8 AZ VT1 Voc","Voltage - Min (RAW-V-5 20107267:20088126-1m), V, Arizona VT SE KMP8 AZ VT1 Voc","Voltage (RAW-V-5 20107267:20088126-1), V, Arizona VT SE KMP8 AZ VT1 Voc","Battery (RX3000 BATTERY 20107267:20107267-B), V, Arizona VT SE KMP8","Thermocouple - Std Dev (RAW-C-20 20107267:20088126-2S), C, Arizona VT 1 AZ VT1 Tcell","Thermocouple - Avg (RAW-C-20 20107267:20088126-2A), C, Arizona VT 1 AZ VT1 Tcell","Thermocouple - Max (RAW-C-20 20107267:20088126-2x), C, Arizona VT 1 AZ VT1 Tcell","Thermocouple - Min (RAW-C-20 20107267:20088126-2m), C, Arizona VT 1 AZ VT1 Tcell","Thermocouple (RAW-C-20 20107267:20088126-2), C, Arizona VT 1 AZ VT1 Tcell","Voltage - Std Dev (RAW-V-5 20107267:20088126-1S), V, Arizona VT 1 AZ VT1 Voc","Voltage - Avg (RAW-V-5 20107267:20088126-1A), V, Arizona VT 1 AZ VT1 Voc","Voltage - Max (RAW-V-5 20107267:20088126-1x), V, Arizona VT 1 AZ VT1 Voc","Voltage - Min (RAW-V-5 20107267:20088126-1m), V, Arizona VT 1 AZ VT1 Voc","Voltage (RAW-V-5 20107267:20088126-1), V, Arizona VT 1 AZ VT1 Voc","Battery (RX3000 BATTERY 20107267:20107267-B), V, Arizona VT 1","Battery (RX3000 BATTERY 20107267:20107267-B), V, Arizona VT Center"
1,08/21/17 15:46:00,,,,,53.514,,,,,0.5581,,,,,,,,,,,,,,,,,,,,,,,,
2,08/21/17 15:47:00,,,,,54.882,,,,,0.5568,,,,,,,,,,,,,,,,,,,,,,,,
3,08/21/17 15:48:00,,,,,53.807,,,,,0.5557,,,,,,,,,,,,,,,,,,,,,,,,
4,08/21/17 15:49:00,,,,,53.710,,,,,0.5574,,,,,,,,,,,,,,,,,,,,,,,,
5,08/21/17 15:50:00,,,,,53.216,,,,,0.5579,4.414,,,,,,,,,,,,,,,,,,,,,,,
6,08/21/17 15:51:00,,,,,54.046,,,,,0.5449,,,,,,,,,,,,,,,,,,,,,,,,
7,08/21/17 15:52:00,,,,,53.102,,,,,0.5034,,,,,,,,,,,,,,,,,,,,,,,,
8,08/21/17 15:53:00,,,,,52.755,,,,,0.5145,,,,,,,,,,,,,,,,,,,,,,,,
9,08/21/17 15:54:00,,,,,53.254,,,,,0.5122,,,,,,,,,,,,,,,,,,,,,,,,
10,08/21/17 15:55:00,,,,,53.314,,,,,0.4408,4.453,,,,,,,,,,,,,,,,,,,,,,,
11,08/21/17 15:56:00,,,,,52.950,,,,,0.4154,,,,,,,,,,,,,,,,,,,,,,,,
12,08/21/17 15:57:00,,,,,51.561,,,,,0.3354,,,,,,,,,,,,,,,,,,,,,,,,
13,08/21/17 15:58:00,,,,,52.228,,,,,0.3320,,,,,,,,,,,,,,,,,,,,,,,,
14,08/21/17 15:59:00,,,,,50.894,,,,,0.3288,,,,,,,,,,,,,,,,,,,,,,,,
15,08/21/17 16:00:00,,,,,50.259,,,,,0.3404,4.463,,,,,,,,,,,,,,,,,,,,,,,
16,08/21/17 16:01:00,,,,,51.680,,,,,0.3229,,,,,,,,,,,,,,,,,,,,,,,,
17,08/21/17 16:02:00,,,,,51.415,,,,,0.3581,,,,,,,,,,,,,,,,,,,,,,,,
18,08/21/17 16:03:00,,,,,50.107,,,,,0.4176,,,,,,,,,,,,,,,,,,,,,,,,
19,08/21/17 16:04:00,,,,,50.292,,,,,0.4718,,,,,,,,,,,,,,,,,,,,,,,,
20,08/21/17 16:05:00,,,,,49.234,,,,,0.5624,4.429,,,,,,,,,,,,,,,,,,,,,,,
21,08/21/17 16:06:00,,,,,48.935,,,,,0.5634,,,,,,,,,,,,,,,,,,,,,,,,
22,08/21/17 16:07:00,,,,,48.360,,,,,0.5645,,,,,,,,,,,,,,,,,,,,,,,,
23,08/21/17 16:08:00,,,,,48.246,,,,,0.5648,,,,,,,,,,,,,,,,,,,,,,,,
24,08/21/17 16:09:00,,,,,48.056,,,,,0.5648,,,,,,,,,,,,,,,,,,,,,,,,
25,08/21/17 16:10:00,,,,,48.490,,,,,0.5645,4.418,,,,,,,,,,,,,,,,,,,,,,,
26,08/21/17 16:11:00,,,,,49.185,,,,,0.5637,,,,,,,,,,,,,,,,,,,,,,,,
27,08/21/17 16:12:00,,,,,49.662,,,,,0.5623,,,,,,,,,,,,,,,,,,,,,,,,
28,08/21/17 16:13:00,,,,,51.019,,,,,0.5604,,,,,,,,,,,,,,,,,,,,,,,,
29,08/21/17 16:14:00,,,,,49.581,,,,,0.4035,,,,,,,,,,,,,,,,,,,,,,,,
30,08/21/17 16:15:00,,,,,49.451,,,,,0.4171,4.409,,,,,,,,,,,,,,,,,,,,,,,
31,08/21/17 16:16:00,,,,,49.006,,,,,0.4077,,,,,,,,,,,,,,,,,,,,,,,,
32,08/21/17 16:17:00,,,,,48.219,,,,,0.3990,,,,,,,,,,,,,,,,,,,,,,,,
33,08/21/17 16:18:00,,,,,47.904,,,,,0.4129,,,,,,,,,,,,,,,,,,,,,,,,
34,08/21/17 16:19:00,,,,,47.638,,,,,0.5283,,,,,,,,,,,,,,,,,,,,,,,,
35,08/21/17 16:20:00,,,,,47.638,,,,,0.5642,4.405,,,,,,,,,,,,,,,,,,,,,,,
36,08/21/17 16:21:00,,,,,49.467,,,,,0.5621,,,,,,,,,,,,,,,,,,,,,,,,
37,08/21/17 16:22:00,,,,,49.331,,,,,0.5612,,,,,,,,,,,,,,,,,,,,,,,,
38,08/21/17 16:23:00,,,,,48.224,,,,,0.5615,,,,,,,,,,,,,,,,,,,,,,,,
39,08/21/17 16:24:00,,,,,48.186,,,,,0.5620,,,,,,,,,,,,,,,,,,,,,,,,
40,08/21/17 16:25:00,,,,,47.557,,,,,0.5632,4.403,,,,,,,,,,,,,,,,,,,,,,,
41,08/21/17 16:26:00,,,,,47.644,,,,,0.5629,,,,,,,,,,,,,,,,,,,,,,,,
42,08/21/17 16:27:00,,,,,48.810,,,,,0.5617,,,,,,,,,,,,,,,,,,,,,,,,
43,08/21/17 16:28:00,,,,,47.942,,,,,0.5617,,,,,,,,,,,,,,,,,,,,,,,,
