Line#,Date,"Thermocouple - Std Dev (RAW-C-20 20107268:20088130-2S), C, Arizona VT Center KMP05 AZ VT2 Tcell","Thermocouple - Avg (RAW-C-20 20107268:20088130-2A), C, Arizona VT Center KMP05 AZ VT2 Tcell","Thermocouple - Max (RAW-C-20 20107268:20088130-2x), C, Arizona VT Center KMP05 AZ VT2 Tcell","Thermocouple - Min (RAW-C-20 20107268:20088130-2m), C, Arizona VT Center KMP05 AZ VT2 Tcell","Thermocouple (RAW-C-20 20107268:20088130-2), C, Arizona VT Center KMP05 AZ VT2 Tcell","Voltage - Std Dev (RAW-V-5 20107268:20088130-1S), V, Arizona VT Center KMP05 AZ VT2 Voc","Voltage - Avg (RAW-V-5 20107268:20088130-1A), V, Arizona VT Center KMP05 AZ VT2 Voc","Voltage - Max (RAW-V-5 20107268:20088130-1x), V, Arizona VT Center KMP05 AZ VT2 Voc","Voltage - Min (RAW-V-5 20107268:20088130-1m), V, Arizona VT Center KMP05 AZ VT2 Voc","Voltage (RAW-V-5 20107268:20088130-1), V, Arizona VT Center KMP05 AZ VT2 Voc","Battery (RX3000 BATTERY 20107268:20107268-B), V, Arizona VT Center KMP05","Thermocouple - Std Dev (RAW-C-20 20107268:20088130-2S), C, Arizona VT Center AZ VT2 Tcell","Thermocouple - Avg (RAW-C-20 20107268:20088130-2A), C, Arizona VT Center AZ VT2 Tcell","Thermocouple - Max (RAW-C-20 20107268:20088130-2x), C, Arizona VT Center AZ VT2 Tcell","Thermocouple - Min (RAW-C-20 20107268:20088130-2m), C, Arizona VT Center AZ VT2 Tcell","Thermocouple (RAW-C-20 20107268:20088130-2), C, Arizona VT Center AZ VT2 Tcell","Voltage - Std Dev (RAW-V-5 20107268:20088130-1S), V, Arizona VT Center AZ VT2 Voc","Voltage - Avg (RAW-V-5 20107268:20088130-1A), V, Arizona VT Center AZ VT2 Voc","Voltage - Max (RAW-V-5 20107268:20088130-1x), V, Arizona VT Center AZ VT2 Voc","Voltage - Min (RAW-V-5 20107268:20088130-1m), V, Arizona VT Center AZ VT2 Voc","Voltage (RAW-V-5 20107268:20088130-1), V, Arizona VT Center AZ VT2 Voc","Battery (RX3000 BATTERY 20107268:20107268-B), V, Arizona VT Center","Voltage - Std Dev (RAW-V-5 20107268:20088130-1S), V, Arizona VT 2 AZ VT2 Voc","Voltage - Avg (RAW-V-5 20107268:20088130-1A), V, Arizona VT 2 AZ VT2 Voc","Voltage - Max (RAW-V-5 20107268:20088130-1x), V, Arizona VT 2 AZ VT2 Voc","Voltage - Min (RAW-V-5 20107268:20088130-1m), V, Arizona VT 2 AZ VT2 Voc","Voltage (RAW-V-5 20107268:20088130-1), V, Arizona VT 2 AZ VT2 Voc","Thermocouple - Std Dev (RAW-C-20 20107268:20088130-2S), C, Arizona VT 2 AZ VT2 Tcell","Thermocouple - Avg (RAW-C-20 20107268:20088130-2A), C, Arizona VT 2 AZ VT2 Tcell","Thermocouple - Max (RAW-C-20 20107268:20088130-2x), C, Arizona VT 2 AZ VT2 Tcell","Thermocouple - Min (RAW-C-20 20107268:20088130-2m), C, Arizona VT 2 AZ VT2 Tcell","Thermocouple (RAW-C-20 20107268:20088130-2), C, Arizona VT 2 AZ VT2 Tcell","Voltage - Std Dev (RAW-V-5 20107268:20088130-1S), V, Arizona VT 2 AZ VT Voc","Voltage - Avg (RAW-V-5 20107268:20088130-1A), V, Arizona VT 2 AZ VT Voc","Voltage - Max (RAW-V-5 20107268:20088130-1x), V, Arizona VT 2 AZ VT Voc","Voltage - Min (RAW-V-5 20107268:20088130-1m), V, Arizona VT 2 AZ VT Voc","Voltage (RAW-V-5 20107268:20088130-1), V, Arizona VT 2 AZ VT Voc","Battery (RX3000 BATTERY 20107268:20107268-B), V, Arizona VT 2"
1,08/28/17 14:17:00,,,,,63.617,,,,,0.5451,4.453,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,08/28/17 14:18:00,,,,,63.671,,,,,0.5465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,08/28/17 14:19:00,,,,,62.277,,,,,0.5494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,08/28/17 14:20:00,,,,,61.121,,,,,0.5505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,08/28/17 14:21:00,,,,,62.738,,,,,0.5509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,08/28/17 14:22:00,,,,,61.566,,,,,0.5507,4.411,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,08/28/17 14:23:00,,,,,62.629,,,,,0.5498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,08/28/17 14:24:00,,,,,63.215,,,,,0.5482,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,08/28/17 14:25:00,,,,,63.259,,,,,0.5487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,08/28/17 14:26:00,,,,,62.765,,,,,0.5485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,08/28/17 14:27:00,,,,,62.173,,,,,0.5488,4.400,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,08/28/17 14:28:00,,,,,63.107,,,,,0.5493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,08/28/17 14:29:00,,,,,62.130,,,,,0.5496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,08/28/17 14:30:00,,,,,64.539,,,,,0.5476,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,08/28/17 14:31:00,,,,,62.070,,,,,0.5474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,08/28/17 14:32:00,,,,,63.866,,,,,0.5458,4.400,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,08/28/17 14:33:00,,,,,63.443,,,,,0.5460,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,08/28/17 14:34:00,,,,,62.597,,,,,0.5469,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,08/28/17 14:35:00,,,,,63.031,,,,,0.5465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,08/28/17 14:36:00,,,,,64.034,,,,,0.5466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,08/28/17 14:37:00,,,,,61.067,,,,,0.5490,4.417,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,08/28/17 14:38:00,,,,,61.376,,,,,0.5496,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,08/28/17 14:39:00,,,,,60.736,,,,,0.5501,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,08/28/17 14:40:00,,,,,60.996,,,,,0.5505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,08/28/17 14:41:00,,,,,60.584,,,,,0.5515,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,08/28/17 14:42:00,,,,,59.933,,,,,0.5515,4.459,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,08/28/17 14:43:00,,,,,61.099,,,,,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,08/28/17 14:44:00,,,,,59.553,,,,,0.5523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,08/28/17 14:45:00,,,,,60.763,,,,,0.5512,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,08/28/17 14:46:00,,,,,59.005,,,,,0.5524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,08/28/17 14:47:00,,,,,61.050,,,,,0.5523,4.463,,,,,,,,,,,,,,,,,,,,,,,,,,,
